車站名稱,站內,站外,站內外,字數,顏色,車站代號,max_exit,人流分類
松山機場站,yes,yes,站內外,4,棕,BR13,3,中
中山國中站,yes,no,站內,4,棕,BR12,1,低
南京復興站,yes,yes,站內外,4,轉乘站,BR11,8,高
忠孝復興站,yes,no,站內,4,轉乘站,BR10,5,高
大安站,yes,no,站內,2,轉乘站,BR09,6,高
科技大樓站,yes,no,站內,4,棕,BR08,1,低
六張犁站,yes,no,站內,3,棕,BR07,1,低
麟光站,yes,no,站內,2,棕,BR06,1,低
辛亥站,yes,no,站內,2,棕,BR05,1,低
萬芳醫院站,yes,no,站內,4,棕,BR04,1,低
萬芳社區站,yes,no,站內,4,棕,BR03,1,低
木柵站,yes,no,站內,2,棕,BR02,1,低
動物園站,no,yes,站外,3,棕,BR01,2,低
大直站,yes,no,站內,2,棕,BR14,3,中
劍南路站,yes,no,站內,3,棕,BR15,3,中
西湖站,no,yes,站外,2,棕,BR16,2,低
港墘站,no,yes,站外,2,棕,BR17,2,低
文德站,no,yes,站外,2,棕,BR18,2,低
內湖站,no,yes,站外,2,棕,BR19,2,低
大湖公園站,no,yes,站外,4,棕,BR20,2,低
葫洲站,no,yes,站外,2,棕,BR21,2,低
東湖站,no,yes,站外,2,棕,BR22,3,中
南港軟體園區站,no,yes,站外,6,棕,BR23,2,低
南港展覽館站,yes,yes,站內外,5,轉乘站,BR24,7,高
小碧潭站,yes,yes,站內外,3,綠,G03A,2,低
新店站,yes,yes,站內外,2,綠,G01,1,低
新店區公所站,yes,no,站內,5,綠,G02,2,低
七張站,yes,no,站內,2,轉乘站,G03,2,低
大坪林站,yes,yes,站內外,3,轉乘站,G04,5,高
景美站,no,yes,站外,2,綠,G05,3,中
萬隆站,no,yes,站外,2,綠,G06,4,中
公館站,no,yes,站外,2,綠,G07,4,中
台電大樓站,no,yes,站外,4,綠,G08,5,高
古亭站,no,yes,站外,2,轉乘站,G09,9,高
中正紀念堂站,no,yes,站外,5,轉乘站,G10,7,高
小南門站,no,yes,站外,3,綠,G11,4,中
頂溪站,no,yes,站外,2,橘,O04,2,低
永安市場站,yes,no,站內,4,橘,O03,1,低
景安站,yes,no,站內,2,轉乘站,O02,1,低
南勢角站,yes,no,站內,3,橘,O01,4,中
台大醫院站,no,yes,站外,4,紅,R09,4,中
台北車站,yes,yes,站內外,4,轉乘站,R10,8,高
中山站,no,yes,站外,2,轉乘站,R11,6,高
雙連站,no,yes,站外,2,紅,R12,2,低
民權西路站,yes,yes,站內外,4,轉乘站,R13,10,高
圓山站,yes,no,站內,2,紅,R14,2,低
劍潭站,yes,no,站內,2,紅,R15,3,中
士林站,yes,no,站內,2,紅,R16,2,低
芝山站,yes,no,站內,2,紅,R17,2,低
明德站,yes,no,站內,2,紅,R18,3,中
石牌站,yes,no,站內,2,紅,R19,2,低
唭哩岸站,yes,no,站內,3,紅,R20,2,低
奇岩站,yes,no,站內,2,紅,R21,3,中
北投站,yes,no,站內,2,轉乘站,R22,2,低
新北投站,yes,no,站內,3,紅,R22A,2,低
復興崗站,yes,no,站內,3,紅,R23,2,低
忠義站,yes,no,站內,2,紅,R24,2,低
關渡站,yes,no,站內,2,紅,R25,2,低
竹圍站,yes,no,站內,2,紅,R26,2,低
紅樹林站,yes,no,站內,3,紅,R27,2,低
淡水站,no,yes,站外,2,紅,R28,3,中
頂埔站,yes,yes,站內外,2,藍,BL01,4,中
